,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
0,Josip Drmic,20.0,ch SUI,FW,44,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
1,Onel Hernandez,11.0,cu CUB,"LW,CM",85,1,0,1,0,0,1,2,50.0,1,6,2,33.3,5,1,0,1,1,0,0,1,,1,0,07/18/20,Norwich City,Burnley
2,Adam Idah,35.0,ie IRL,CM,5,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
3,Emiliano Buendia,17.0,ar ARG,"FW,RW",34,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
4,Todd Cantwell,14.0,eng ENG,"AM,CM",75,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,2,1,1,0,0,1,0,,0,0,07/18/20,Norwich City,Burnley
5,Lukas Rupp,7.0,de GER,CM,15,1,1,1,0,0,0,0,,0,3,0,0.0,1,2,0,1,0,0,1,0,,0,0,07/18/20,Norwich City,Burnley
6,Kenny McLean,23.0,sco SCO,DM,90,0,0,0,0,0,0,0,,0,9,0,0.0,2,4,3,0,0,0,0,1,,2,0,07/18/20,Norwich City,Burnley
7,Alexander Tettey,27.0,no NOR,DM,89,1,1,1,0,0,0,0,,0,5,1,20.0,4,1,0,1,0,0,1,1,,4,0,07/18/20,Norwich City,Burnley
8,Mario Vrancic,8.0,ba BIH,DM,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/18/20,Norwich City,Burnley
9,Jamal Lewis,12.0,nir NIR,LB,90,1,1,1,0,0,0,0,,0,9,6,66.7,4,5,0,1,0,0,1,3,,2,0,07/18/20,Norwich City,Burnley
10,Timm Klose,15.0,ch SUI,CB,45,0,0,0,0,0,0,1,0.0,1,4,2,50.0,4,0,0,0,0,0,0,2,,3,0,07/18/20,Norwich City,Burnley
11,Christoph Zimmermann,6.0,de GER,CB,45,1,1,1,0,0,0,0,,0,1,0,0.0,1,0,0,5,5,0,0,0,,4,0,07/18/20,Norwich City,Burnley
12,Ben Godfrey,4.0,eng ENG,CB,90,0,0,0,0,0,0,0,,0,5,1,20.0,3,2,0,3,2,0,1,1,,13,0,07/18/20,Norwich City,Burnley
13,Max Aarons,2.0,eng ENG,RB,90,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,7,1,0,6,1,,3,0,07/18/20,Norwich City,Burnley
14,Tim Krul,1.0,nl NED,GK,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,,0,0,07/18/20,Norwich City,Burnley
15,Jay Rodriguez,19.0,eng ENG,FW,90,1,1,0,0,1,1,1,100.0,0,23,8,34.8,0,8,15,1,0,0,1,0,,0,0,07/18/20,Burnley,Norwich City
16,Chris Wood,9.0,nz NZL,FW,78,0,0,0,0,0,0,0,,0,4,1,25.0,0,2,2,0,0,0,0,0,,1,0,07/18/20,Burnley,Norwich City
17,Matej Vydra,27.0,cz CZE,FW,12,0,0,0,0,0,0,0,,0,4,2,50.0,0,1,3,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
18,Dwight McNeil,11.0,eng ENG,CM,90,2,0,0,2,0,1,5,20.0,4,15,3,20.0,3,5,7,2,0,0,2,1,,0,0,07/18/20,Burnley,Norwich City
19,Johann Gudmundsson,7.0,is ISL,CM,59,1,0,0,0,1,0,1,0.0,1,17,4,23.5,3,6,8,1,0,0,1,1,,1,0,07/18/20,Burnley,Norwich City
20,Robbie Brady,12.0,ie IRL,CM,31,1,0,1,0,0,1,2,50.0,1,4,1,25.0,1,2,1,1,0,0,1,1,,0,0,07/18/20,Burnley,Norwich City
21,Josh Brownhill,8.0,eng ENG,DM,90,0,0,0,0,0,0,1,0.0,1,16,5,31.3,3,8,5,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
22,Ashley Westwood,18.0,eng ENG,DM,90,0,0,0,0,0,0,0,,0,10,3,30.0,1,4,5,1,0,0,1,1,,0,0,07/18/20,Burnley,Norwich City
23,Erik Pieters,23.0,nl NED,LB,90,2,0,0,2,0,1,2,50.0,1,14,2,14.3,1,9,4,0,0,0,0,1,,0,0,07/18/20,Burnley,Norwich City
24,James Tarkowski,5.0,eng ENG,CB,90,2,1,2,0,0,2,2,100.0,0,8,4,50.0,3,3,2,2,2,0,0,1,,6,0,07/18/20,Burnley,Norwich City
25,Kevin Long,28.0,ie IRL,CB,90,1,1,0,1,0,0,0,,0,6,3,50.0,4,2,0,1,0,0,1,0,,1,0,07/18/20,Burnley,Norwich City
26,Phil Bardsley,26.0,sco SCO,RB,90,2,2,0,1,1,1,3,33.3,2,13,7,53.8,2,8,3,1,0,0,1,2,,5,0,07/18/20,Burnley,Norwich City
27,Nick Pope,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/18/20,Burnley,Norwich City
28,Joshua King,7.0,no NOR,FW,68,0,0,0,0,0,0,1,0.0,1,10,3,30.0,1,1,8,1,0,0,1,0,,0,0,07/19/20,Bournemouth,Southampton
29,Lewis Cook,16.0,eng ENG,"CM,FW",22,1,0,0,1,0,0,0,,0,7,2,28.6,0,7,0,0,0,0,0,0,,0,0,07/19/20,Bournemouth,Southampton
30,Callum Wilson,13.0,eng ENG,"FW,LW",90,1,1,0,1,0,0,0,,0,19,6,31.6,0,6,13,2,0,0,2,0,,0,0,07/19/20,Bournemouth,Southampton
31,Junior Stanislas,19.0,eng ENG,CM,69,2,2,1,0,1,2,4,50.0,2,13,5,38.5,3,7,3,0,0,0,0,1,,0,0,07/19/20,Bournemouth,Southampton
32,Dominic Solanke,9.0,eng ENG,"FW,CM",21,0,0,0,0,0,0,0,,0,7,3,42.9,1,1,5,1,0,0,1,0,,1,0,07/19/20,Bournemouth,Southampton
33,Philip Billing,29.0,dk DEN,CM,86,1,1,0,1,0,0,3,0.0,3,26,7,26.9,4,15,7,6,1,0,5,1,,2,0,07/19/20,Bournemouth,Southampton
34,Dan Gosling,4.0,eng ENG,CM,4,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1,0,0,0,0,0,,1,0,07/19/20,Bournemouth,Southampton
35,Jefferson Lerma,8.0,co COL,CM,81,4,2,0,4,0,1,2,50.0,1,26,10,38.5,6,16,4,1,0,0,1,1,,3,0,07/19/20,Bournemouth,Southampton
36,Sam Surridge,44.0,eng ENG,"RW,CM",9,0,0,0,0,0,0,0,,0,7,1,14.3,0,3,4,1,0,0,1,1,,0,0,07/19/20,Bournemouth,Southampton
37,David Brooks,20.0,wal WAL,CM,45,0,0,0,0,0,0,0,,0,6,0,0.0,3,1,2,1,0,0,1,2,,1,0,07/19/20,Bournemouth,Southampton
38,Harry Wilson,22.0,wal WAL,"CM,WB",45,2,0,2,0,0,1,3,33.3,2,11,3,27.3,7,3,1,3,1,0,2,3,,1,0,07/19/20,Bournemouth,Southampton
39,Diego Rico,21.0,es ESP,"LB,CB",90,1,0,0,1,0,1,5,20.0,4,18,4,22.2,3,12,3,1,0,0,1,1,,3,0,07/19/20,Bournemouth,Southampton
40,Lloyd Kelly,26.0,eng ENG,CB,90,2,2,1,1,0,1,3,33.3,2,9,5,55.6,6,3,0,4,2,0,2,0,,3,0,07/19/20,Bournemouth,Southampton
41,Steve Cook,3.0,eng ENG,CB,90,0,0,0,0,0,0,0,,0,8,3,37.5,4,4,0,2,1,0,1,1,,5,0,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,1,1,0,0,1,0,1,0.0,1,10,5,50.0,1,6,3,2,0,0,2,2,,3,0,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,0,0,0,0,0,0,0,,0,14,2,14.3,3,6,5,1,0,0,1,0,,1,0,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/19/20,Southampton,Bournemouth
46,Shane Long,7.0,ie IRL,FW,65,2,2,1,0,1,0,0,,0,8,2,25.0,1,5,2,1,0,0,1,0,,2,0,07/19/20,Southampton,Bournemouth
47,Che Adams,10.0,eng ENG,FW,25,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,3,0,0,3,0,,2,0,07/19/20,Southampton,Bournemouth
48,Nathan Redmond,22.0,eng ENG,CM,90,1,0,1,0,0,1,4,25.0,3,10,2,20.0,2,5,3,1,0,0,1,0,,0,0,07/19/20,Southampton,Bournemouth
49,Oriol Romeu,14.0,es ESP,CM,76,2,1,1,1,0,2,3,66.7,1,13,4,30.8,7,6,0,4,0,0,4,1,,4,0,07/19/20,Southampton,Bournemouth
50,Pierre-Emile Hojbjerg,23.0,dk DEN,CM,14,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,,0,0,07/19/20,Southampton,Bournemouth
51,James Ward-Prowse,16.0,eng ENG,CM,90,2,2,0,1,1,0,0,,0,12,4,33.3,7,3,2,0,0,0,0,1,,5,0,07/19/20,Southampton,Bournemouth
52,Stuart Armstrong,17.0,sco SCO,CM,90,2,2,1,0,1,0,3,0.0,3,12,7,58.3,4,5,3,1,1,0,0,0,,0,0,07/19/20,Southampton,Bournemouth
53,Ryan Bertrand,21.0,eng ENG,LB,90,0,0,0,0,0,0,1,0.0,1,8,2,25.0,6,2,0,2,1,0,1,3,,4,0,07/19/20,Southampton,Bournemouth
54,Jannik Vestergaard,4.0,dk DEN,CB,90,2,1,2,0,0,0,0,,0,8,3,37.5,7,1,0,3,1,0,2,1,,21,0,07/19/20,Southampton,Bournemouth
55,Jack Stephens,5.0,eng ENG,CB,90,4,2,3,1,0,1,1,100.0,0,8,3,37.5,6,2,0,3,0,0,3,2,,9,0,07/19/20,Southampton,Bournemouth
56,Kyle Walker-Peters,24.0,eng ENG,RB,90,4,2,2,2,0,0,0,,0,11,3,27.3,6,5,0,3,0,0,3,2,,3,0,07/19/20,Southampton,Bournemouth
57,Alex McCarthy,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,,0,0,07/19/20,Southampton,Bournemouth
58,Harry Kane,10.0,eng ENG,FW,90,1,1,0,1,0,1,2,50.0,1,3,2,66.7,1,2,0,1,1,0,0,0,,1,0,07/19/20,Tottenham,Leicester City
59,Son Heung-Min,7.0,kr KOR,LW,88,0,0,0,0,0,0,1,0.0,1,7,1,14.3,4,1,2,1,0,0,1,0,,2,0,07/19/20,Tottenham,Leicester City
60,Gedson Fernandes,30.0,pt POR,LW,2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
61,Lucas Moura,27.0,br BRA,RW,76,2,2,1,1,0,0,2,0.0,2,18,4,22.2,11,7,0,1,0,0,1,0,,3,0,07/19/20,Tottenham,Leicester City
62,Steven Bergwijn,23.0,nl NED,RW,14,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
63,Giovani Lo Celso,18.0,ar ARG,CM,76,5,0,1,4,0,2,4,50.0,2,19,3,15.8,9,9,1,2,0,0,2,1,,0,0,07/19/20,Tottenham,Leicester City
64,Erik Lamela,11.0,ar ARG,CM,14,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
65,Moussa Sissoko,17.0,fr FRA,CM,90,0,0,0,0,0,0,1,0.0,1,10,2,20.0,6,4,0,1,1,0,0,1,,6,0,07/19/20,Tottenham,Leicester City
66,Harry Winks,8.0,eng ENG,DM,89,1,1,0,1,0,0,0,,0,9,3,33.3,4,5,0,0,0,0,0,1,,0,0,07/19/20,Tottenham,Leicester City
67,Oliver Skipp,29.0,eng ENG,DM,1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
68,Ben Davies,33.0,wal WAL,LB,90,3,3,2,1,0,0,1,0.0,1,9,4,44.4,5,4,0,4,3,0,1,1,,3,0,07/19/20,Tottenham,Leicester City
69,Toby Alderweireld,4.0,be BEL,CB,90,1,0,1,0,0,0,0,,0,4,1,25.0,4,0,0,1,1,0,0,0,,7,0,07/19/20,Tottenham,Leicester City
70,Davinson Sanchez,6.0,co COL,CB,90,1,1,1,0,0,0,1,0.0,1,7,4,57.1,6,1,0,4,4,0,0,1,,5,0,07/19/20,Tottenham,Leicester City
71,Serge Aurier,24.0,ci CIV,RB,90,3,1,2,1,0,2,3,66.7,1,17,3,17.6,11,6,0,3,0,0,3,2,,4,0,07/19/20,Tottenham,Leicester City
72,Hugo Lloris,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
73,Jamie Vardy,9.0,eng ENG,FW,90,1,1,1,0,0,0,0,,0,9,5,55.6,1,3,5,3,1,0,2,0,,1,0,07/19/20,Leicester City,Tottenham
74,Harvey Barnes,15.0,eng ENG,LW,82,0,0,0,0,0,0,0,,0,10,2,20.0,2,5,3,2,0,0,2,0,,1,0,07/19/20,Leicester City,Tottenham
75,George Hirst,45.0,eng ENG,LW,8,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,,0,0,07/19/20,Leicester City,Tottenham
76,Ayoze Perez,17.0,es ESP,RW,58,1,1,0,0,1,0,2,0.0,2,16,6,37.5,0,8,8,2,0,0,2,0,,0,0,07/19/20,Leicester City,Tottenham
77,Kelechi Iheanacho,14.0,ng NGA,RW,32,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,1,,0,0,07/19/20,Leicester City,Tottenham
78,Youri Tielemans,8.0,be BEL,CM,69,1,1,0,1,0,0,2,0.0,2,14,7,50.0,1,11,2,4,0,0,4,0,,0,0,07/19/20,Leicester City,Tottenham
79,Dennis Praet,26.0,be BEL,CM,21,0,0,0,0,0,0,0,,0,5,0,0.0,2,3,0,2,0,0,2,2,,0,0,07/19/20,Leicester City,Tottenham
80,Wilfred Ndidi,25.0,ng NGA,CM,69,3,3,0,2,1,0,1,0.0,1,22,9,40.9,0,17,5,1,0,0,1,0,,1,0,07/19/20,Leicester City,Tottenham
81,Nampalys Mendy,24.0,fr FRA,CM,21,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,,0,0,07/19/20,Leicester City,Tottenham
82,Luke Thomas,56.0,eng ENG,WB,90,1,1,0,1,0,0,1,0.0,1,12,2,16.7,2,7,3,2,0,0,2,1,,0,0,07/19/20,Leicester City,Tottenham
83,James Justin,2.0,eng ENG,"WB,CB",90,3,2,1,2,0,0,1,0.0,1,7,4,57.1,1,5,1,2,1,0,1,1,,5,0,07/19/20,Leicester City,Tottenham
84,Jonny Evans,6.0,nir NIR,CB,90,2,0,0,1,1,1,1,100.0,0,7,2,28.6,2,4,1,1,0,0,1,1,,2,0,07/19/20,Leicester City,Tottenham
85,Wes Morgan,5.0,jm JAM,CB,90,0,0,0,0,0,0,1,0.0,1,6,2,33.3,2,3,1,1,1,0,0,1,,2,0,07/19/20,Leicester City,Tottenham
86,Ryan Bennett,29.0,eng ENG,CB,45,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,1,0,0,0,,0,0,07/19/20,Leicester City,Tottenham
87,Demarai Gray,7.0,eng ENG,"WB,CB",45,0,0,0,0,0,0,1,0.0,1,2,1,50.0,0,0,2,0,0,0,0,0,,0,0,07/19/20,Leicester City,Tottenham
88,Kasper Schmeichel,1.0,dk DEN,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/19/20,Leicester City,Tottenham
89,David McGoldrick,17.0,ie IRL,FW,90,1,0,0,0,1,0,0,,0,10,2,20.0,1,2,7,0,0,0,0,0,,0,0,07/20/20,Sheffield Utd,Everton
90,Oliver McBurnie,9.0,sco SCO,FW,59,1,0,0,1,0,0,1,0.0,1,18,4,22.2,1,4,13,1,0,0,1,0,,0,0,07/20/20,Sheffield Utd,Everton
91,John Fleck,4.0,sco SCO,FW,31,0,0,0,0,0,0,1,0.0,1,3,2,66.7,0,2,1,0,0,0,0,0,,0,0,07/20/20,Sheffield Utd,Everton
92,Ben Osborn,23.0,eng ENG,CM,59,0,0,0,0,0,0,0,,0,12,3,25.0,0,8,4,1,0,0,1,1,,0,0,07/20/20,Sheffield Utd,Everton
93,Billy Sharp,10.0,eng ENG,CM,31,0,0,0,0,0,0,0,,0,6,2,33.3,0,1,5,0,0,0,0,0,,0,0,07/20/20,Sheffield Utd,Everton
94,Sander Berge,32.0,no NOR,CM,90,2,1,0,1,1,1,4,25.0,3,28,9,32.1,4,12,12,3,0,0,3,1,,0,0,07/20/20,Sheffield Utd,Everton
95,Oliver Norwood,16.0,nir NIR,DM,68,3,2,2,1,0,1,3,33.3,2,13,5,38.5,5,6,2,0,0,0,0,0,,0,0,07/20/20,Sheffield Utd,Everton
96,John Lundstram,7.0,eng ENG,DM,22,1,1,0,0,1,1,2,50.0,1,5,3,60.0,0,2,3,0,0,0,0,0,,0,0,07/20/20,Sheffield Utd,Everton
97,Enda Stevens,3.0,ie IRL,WB,90,4,2,2,1,1,1,2,50.0,1,7,4,57.1,2,1,4,1,0,0,1,0,,1,0,07/20/20,Sheffield Utd,Everton
98,George Baldock,2.0,eng ENG,WB,90,4,2,2,1,1,3,3,100.0,0,22,10,45.5,7,10,5,2,0,0,2,1,,1,0,07/20/20,Sheffield Utd,Everton
99,Jack O'Connell,5.0,eng ENG,CB,90,1,1,1,0,0,1,2,50.0,1,6,3,50.0,2,4,0,3,0,0,3,4,,3,0,07/20/20,Sheffield Utd,Everton
100,John Egan,12.0,ie IRL,CB,90,2,0,1,1,0,2,3,66.7,1,7,1,14.3,5,2,0,0,0,0,0,1,,5,0,07/20/20,Sheffield Utd,Everton
101,Chris Basham,6.0,eng ENG,CB,82,5,2,2,3,0,2,2,100.0,0,11,5,45.5,4,7,0,3,0,0,3,1,,1,0,07/20/20,Sheffield Utd,Everton
102,Richairo Zivkovic,30.0,nl NED,CB,8,0,0,0,0,0,0,0,,0,3,0,0.0,0,0,3,1,0,0,1,0,,0,0,07/20/20,Sheffield Utd,Everton
103,Dean Henderson,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,2,0,07/20/20,Sheffield Utd,Everton
104,Richarlison,7.0,br BRA,FW,90,2,2,1,0,1,0,1,0.0,1,19,3,15.8,9,5,5,2,0,0,2,1,,1,0,07/20/20,Everton,Sheffield Utd
105,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,0,0,0,0,0,0,0,,0,9,1,11.1,0,5,4,0,0,0,0,0,,3,0,07/20/20,Everton,Sheffield Utd
106,Gylfi Sigurdsson,10.0,is ISL,CM,87,0,0,0,0,0,0,0,,0,11,3,27.3,1,4,6,1,0,0,1,0,,0,0,07/20/20,Everton,Sheffield Utd
107,Seamus Coleman,23.0,ie IRL,"CM,RB",3,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,07/20/20,Everton,Sheffield Utd
108,Theo Walcott,11.0,eng ENG,CM,83,1,0,0,1,0,1,2,50.0,1,15,3,20.0,6,6,3,4,0,0,4,1,,0,0,07/20/20,Everton,Sheffield Utd
109,Anthony Gordon,42.0,eng ENG,CM,7,0,0,0,0,0,0,1,0.0,1,3,1,33.3,1,2,0,0,0,0,0,0,,0,0,07/20/20,Everton,Sheffield Utd
110,Tom Davies,26.0,eng ENG,DM,90,1,1,0,1,0,1,4,25.0,3,13,3,23.1,8,4,1,3,0,0,3,2,,3,0,07/20/20,Everton,Sheffield Utd
111,Andre Gomes,21.0,pt POR,DM,90,0,0,0,0,0,0,3,0.0,3,23,6,26.1,13,6,4,3,0,0,3,1,,0,0,07/20/20,Everton,Sheffield Utd
112,Lucas Digne,12.0,fr FRA,LB,90,0,0,0,0,0,0,1,0.0,1,11,6,54.5,9,1,1,3,0,0,3,2,,5,0,07/20/20,Everton,Sheffield Utd
113,Jarrad Branthwaite,32.0,eng ENG,CB,90,1,1,1,0,0,0,1,0.0,1,6,4,66.7,3,3,0,1,1,0,0,0,,5,0,07/20/20,Everton,Sheffield Utd
114,Michael Keane,5.0,eng ENG,CB,90,1,1,1,0,0,0,0,,0,10,3,30.0,9,1,0,3,2,0,1,0,,14,0,07/20/20,Everton,Sheffield Utd
115,Djibril Sidibe,19.0,fr FRA,RB,90,1,1,1,0,0,0,0,,0,9,3,33.3,6,3,0,4,1,0,3,2,,2,0,07/20/20,Everton,Sheffield Utd
