,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
136,Son Heung-Min,7.0,kr KOR,LW,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0,09/27/20,Tottenham,Newcastle Utd
137,Steven Bergwijn,23.0,nl NED,LW,45,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,09/27/20,Tottenham,Newcastle Utd
138,Lucas Moura,27.0,br BRA,RW,78,0,0,0,3,1,0,0,0,0,0,0,0,9,4,2,66.7,09/27/20,Tottenham,Newcastle Utd
139,Erik Lamela,11.0,ar ARG,RW,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/27/20,Tottenham,Newcastle Utd
140,Giovani Lo Celso,18.0,ar ARG,AM,76,0,0,0,2,2,0,1,0,0,0,0,0,9,2,1,66.7,09/27/20,Tottenham,Newcastle Utd
141,Tanguy Ndombele,28.0,fr FRA,AM,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,50.0,09/27/20,Tottenham,Newcastle Utd
142,Harry Winks,8.0,eng ENG,DM,90,1,0,0,0,1,0,0,0,1,0,0,0,9,0,1,0.0,09/27/20,Tottenham,Newcastle Utd
143,Pierre-Emile Hojbjerg,5.0,dk DEN,DM,90,0,0,0,4,1,0,1,3,0,0,0,0,14,2,2,50.0,09/27/20,Tottenham,Newcastle Utd
144,Ben Davies,33.0,wal WAL,LB,90,0,0,0,2,1,0,3,0,1,0,0,0,6,3,1,75.0,09/27/20,Tottenham,Newcastle Utd
145,Eric Dier,15.0,eng ENG,CB,90,0,0,0,1,0,0,0,0,1,0,1,0,12,5,3,62.5,09/27/20,Tottenham,Newcastle Utd
146,Davinson Sanchez,6.0,co COL,CB,90,0,0,0,2,0,0,0,0,1,0,0,0,9,6,2,75.0,09/27/20,Tottenham,Newcastle Utd
147,Matt Doherty,2.0,ie IRL,RB,90,0,0,0,0,2,0,2,0,0,0,0,0,11,6,4,60.0,09/27/20,Tottenham,Newcastle Utd
148,Hugo Lloris,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/27/20,Tottenham,Newcastle Utd
149,Callum Wilson,13.0,eng ENG,FW,90,0,0,0,0,3,1,0,0,0,0,0,0,0,3,6,33.3,09/27/20,Newcastle Utd,Tottenham
150,Joelinton,9.0,br BRA,LW,90,1,0,0,1,3,0,2,0,1,0,0,0,7,5,8,38.5,09/27/20,Newcastle Utd,Tottenham
151,Miguel Almiron,24.0,py PAR,RW,76,0,0,0,1,1,0,2,0,2,0,0,0,7,0,2,0.0,09/27/20,Newcastle Utd,Tottenham
152,Andy Carroll,7.0,eng ENG,RW,14,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,80.0,09/27/20,Newcastle Utd,Tottenham
153,Jeff Hendrick,16.0,ie IRL,CM,73,0,0,0,0,2,0,0,1,1,0,0,0,5,0,0,,09/27/20,Newcastle Utd,Tottenham
154,Jacob Murphy,23.0,eng ENG,"WB,CM",17,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,,09/27/20,Newcastle Utd,Tottenham
155,Jonjo Shelvey,8.0,eng ENG,CM,90,1,0,0,3,0,0,1,0,2,0,0,0,7,0,0,,09/27/20,Newcastle Utd,Tottenham
156,Matt Ritchie,11.0,sco SCO,WB,68,0,0,0,0,1,0,2,0,0,0,0,0,6,1,5,16.7,09/27/20,Newcastle Utd,Tottenham
157,Jamal Lewis,15.0,nir NIR,WB,22,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0.0,09/27/20,Newcastle Utd,Tottenham
158,Javier Manquillo,19.0,es ESP,"WB,CB",90,0,0,0,0,0,0,2,1,0,0,0,0,11,2,0,100.0,09/27/20,Newcastle Utd,Tottenham
159,Federico Fernandez,18.0,ar ARG,CB,90,0,0,0,0,2,0,0,1,0,0,0,0,7,1,3,25.0,09/27/20,Newcastle Utd,Tottenham
160,Jamaal Lascelles,6.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,3,0,0,0,8,1,1,50.0,09/27/20,Newcastle Utd,Tottenham
161,Isaac Hayden,14.0,eng ENG,"CB,CM",90,1,0,0,2,0,0,0,0,1,0,0,0,6,3,4,42.9,09/27/20,Newcastle Utd,Tottenham
162,Karl Darlow,26.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,09/27/20,Newcastle Utd,Tottenham
163,Raheem Sterling,7.0,eng ENG,"FW,LW,AM",90,0,0,0,3,1,0,2,0,3,0,0,0,3,0,1,0.0,09/27/20,Manchester City,Leicester City
164,Phil Foden,47.0,eng ENG,LW,63,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0.0,09/27/20,Manchester City,Leicester City
165,Ferran Torres,21.0,es ESP,"RW,LW",27,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,100.0,09/27/20,Manchester City,Leicester City
166,Riyad Mahrez,26.0,dz ALG,"RW,CM",90,0,0,0,1,2,0,2,0,0,0,0,0,7,0,0,,09/27/20,Manchester City,Leicester City
167,Kevin De Bruyne,17.0,be BEL,"AM,CM,DM",90,0,0,0,1,2,0,4,0,0,0,0,0,11,1,0,100.0,09/27/20,Manchester City,Leicester City
168,Rodrigo,16.0,es ESP,DM,90,0,0,0,1,2,1,0,2,2,0,0,0,17,2,2,50.0,09/27/20,Manchester City,Leicester City
169,Fernandinho,25.0,br BRA,DM,50,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0.0,09/27/20,Manchester City,Leicester City
170,Liam Delap,48.0,eng ENG,"FW,DM",40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,09/27/20,Manchester City,Leicester City
171,Benjamin Mendy,22.0,fr FRA,LB,90,0,0,0,1,0,0,4,0,1,0,1,0,7,2,3,40.0,09/27/20,Manchester City,Leicester City
172,Nathan Ake,6.0,nl NED,CB,90,1,0,0,1,0,0,0,1,0,0,0,0,14,4,1,80.0,09/27/20,Manchester City,Leicester City
173,Eric Garcia,50.0,es ESP,CB,90,0,0,0,1,1,0,0,3,1,0,1,0,8,0,3,0.0,09/27/20,Manchester City,Leicester City
174,Kyle Walker,2.0,eng ENG,RB,90,0,0,0,2,0,1,1,1,0,0,1,0,12,4,1,80.0,09/27/20,Manchester City,Leicester City
175,Ederson,31.0,br BRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,09/27/20,Manchester City,Leicester City
176,Jamie Vardy,9.0,eng ENG,FW,84,0,0,0,1,2,1,0,0,1,2,0,0,0,4,2,66.7,09/27/20,Leicester City,Manchester City
177,Kelechi Iheanacho,14.0,ng NGA,FW,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,09/27/20,Leicester City,Manchester City
178,Harvey Barnes,15.0,eng ENG,LW,90,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0,100.0,09/27/20,Leicester City,Manchester City
179,Dennis Praet,26.0,be BEL,RW,68,0,0,0,1,0,0,1,0,1,0,0,0,6,1,1,50.0,09/27/20,Leicester City,Manchester City
180,James Maddison,10.0,eng ENG,RW,22,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0.0,09/27/20,Leicester City,Manchester City
181,Nampalys Mendy,24.0,fr FRA,DM,90,0,0,0,1,1,0,0,1,1,0,0,0,10,1,1,50.0,09/27/20,Leicester City,Manchester City
182,Youri Tielemans,8.0,be BEL,DM,90,1,0,0,2,4,0,0,0,1,0,0,0,8,1,0,100.0,09/27/20,Leicester City,Manchester City
183,James Justin,2.0,eng ENG,"WB,CB",90,0,0,0,0,2,0,1,2,3,0,0,0,5,0,1,0.0,09/27/20,Leicester City,Manchester City
184,Timothy Castagne,27.0,be BEL,WB,90,0,0,0,0,0,0,2,0,1,0,0,0,9,1,2,33.3,09/27/20,Leicester City,Manchester City
185,Caglar Soyuncu,4.0,tr TUR,CB,90,1,0,0,1,0,0,0,0,1,0,0,0,8,2,2,50.0,09/27/20,Leicester City,Manchester City
186,Jonny Evans,6.0,nir NIR,CB,79,0,0,0,1,1,0,0,1,2,0,0,0,7,0,0,,09/27/20,Leicester City,Manchester City
187,Christian Fuchs,28.0,at AUT,"WB,CB",11,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,25.0,09/27/20,Leicester City,Manchester City
188,Daniel Amartey,18.0,gh GHA,CB,90,1,0,0,1,0,0,0,0,0,0,0,0,5,5,1,83.3,09/27/20,Leicester City,Manchester City
189,Kasper Schmeichel,1.0,dk DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,09/27/20,Leicester City,Manchester City
190,Michail Antonio,30.0,eng ENG,FW,87,0,0,0,1,5,2,1,0,0,0,0,0,5,2,8,20.0,09/27/20,West Ham,Wolves
191,Sebastien Haller,22.0,fr FRA,FW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/27/20,West Ham,Wolves
192,Pablo Fornals,18.0,es ESP,AM,90,0,0,0,1,1,1,0,0,0,0,0,0,7,0,1,0.0,09/27/20,West Ham,Wolves
193,Jarrod Bowen,20.0,eng ENG,AM,87,0,0,0,0,3,0,0,1,1,0,0,0,8,0,1,0.0,09/27/20,West Ham,Wolves
194,Mark Noble,16.0,eng ENG,AM,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,09/27/20,West Ham,Wolves
195,Declan Rice,41.0,eng ENG,DM,90,0,0,0,0,0,0,0,2,4,0,0,0,17,1,0,100.0,09/27/20,West Ham,Wolves
196,Tomas Soucek,28.0,cz CZE,DM,90,0,0,0,3,1,0,0,1,1,0,0,0,10,6,4,60.0,09/27/20,West Ham,Wolves
197,Arthur Masuaku,26.0,cd COD,WB,90,0,0,0,0,0,0,4,0,2,0,0,0,9,0,3,0.0,09/27/20,West Ham,Wolves
198,Ryan Fredericks,24.0,eng ENG,WB,48,0,0,0,1,0,0,1,0,1,0,0,0,10,3,0,100.0,09/27/20,West Ham,Wolves
199,Ben Johnson,31.0,eng ENG,WB,42,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0.0,09/27/20,West Ham,Wolves
200,Aaron Cresswell,3.0,eng ENG,CB,90,0,0,0,0,0,0,3,1,0,0,0,0,8,0,3,0.0,09/27/20,West Ham,Wolves
201,Angelo Ogbonna,21.0,it ITA,CB,90,0,0,0,1,0,0,0,1,1,0,0,0,11,2,1,66.7,09/27/20,West Ham,Wolves
202,Fabian Balbuena,4.0,py PAR,CB,90,0,0,0,1,0,0,0,0,3,0,0,0,5,1,1,50.0,09/27/20,West Ham,Wolves
203,Åukasz FabiaÅski,1.0,pl POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/27/20,West Ham,Wolves
204,Raul Jimenez,9.0,mx MEX,FW,90,0,0,0,0,1,2,0,0,0,0,0,1,4,3,1,75.0,09/27/20,Wolves,West Ham
205,Pedro Neto,7.0,pt POR,LW,90,0,0,0,1,2,0,1,0,1,0,0,0,6,0,2,0.0,09/27/20,Wolves,West Ham
206,Adama Traore,37.0,es ESP,RW,61,0,0,0,1,0,0,7,0,0,0,0,0,0,2,0,100.0,09/27/20,Wolves,West Ham
207,Fabio Silva,17.0,pt POR,RW,29,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,33.3,09/27/20,Wolves,West Ham
208,Joao Moutinho,28.0,pt POR,CM,72,0,0,0,1,1,0,0,0,2,0,0,0,7,0,3,0.0,09/27/20,Wolves,West Ham
209,Vitinha,20.0,pt POR,CM,18,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,09/27/20,Wolves,West Ham
210,Ruben Neves,8.0,pt POR,CM,90,0,0,0,1,0,0,0,0,5,0,0,0,13,1,0,100.0,09/27/20,Wolves,West Ham
211,Ruben Vinagre,29.0,pt POR,WB,90,0,0,0,2,0,0,4,1,2,0,0,0,13,2,2,50.0,09/27/20,Wolves,West Ham
212,Nelson Semedo,22.0,pt POR,WB,72,0,0,0,0,0,0,3,1,0,0,0,0,5,1,0,100.0,09/27/20,Wolves,West Ham
213,Ki-Jana Hoever,2.0,nl NED,WB,18,0,0,0,0,1,0,2,0,0,0,0,0,4,1,0,100.0,09/27/20,Wolves,West Ham
214,Romain Saiss,27.0,ma MAR,CB,90,0,0,0,0,0,0,0,1,0,0,0,0,16,6,3,66.7,09/27/20,Wolves,West Ham
215,Conor Coady,16.0,eng ENG,CB,90,1,0,0,3,0,0,0,0,1,0,0,0,8,1,0,100.0,09/27/20,Wolves,West Ham
216,Willy Boly,15.0,fr FRA,CB,90,0,0,0,1,1,0,0,0,2,0,0,0,7,5,2,71.4,09/27/20,Wolves,West Ham
217,Rui PatrÃ­cio,11.0,pt POR,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/27/20,Wolves,West Ham
218,Aleksandar Mitrovic,9.0,rs SRB,FW,90,0,0,0,2,2,0,0,0,0,0,0,0,2,7,5,58.3,09/28/20,Fulham,Aston Villa
219,Ivan Cavaleiro,17.0,pt POR,AM,90,0,0,0,2,2,0,6,1,2,0,0,0,7,1,1,50.0,09/28/20,Fulham,Aston Villa
220,Bobby De Cordova-Reid,14.0,jm JAM,AM,77,1,0,0,1,0,0,2,0,0,0,0,0,4,1,2,33.3,09/28/20,Fulham,Aston Villa
221,Neeskens Kebano,7.0,cd COD,AM,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,09/28/20,Fulham,Aston Villa
222,Tom Cairney,10.0,sco SCO,DM,90,1,0,0,1,4,0,2,0,0,0,0,0,12,0,0,,09/28/20,Fulham,Aston Villa
223,Andre-Frank Zambo Anguissa,29.0,cm CMR,DM,90,0,0,0,1,0,0,1,4,0,0,0,0,11,1,1,50.0,09/28/20,Fulham,Aston Villa
224,Joe Bryan,23.0,eng ENG,WB,90,1,0,0,2,1,0,6,2,1,0,0,0,13,1,2,33.3,09/28/20,Fulham,Aston Villa
225,Kenny Tete,2.0,nl NED,WB,38,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,,09/28/20,Fulham,Aston Villa
226,Aboubakar Kamara,47.0,fr FRA,WB,52,1,0,0,3,2,0,4,0,0,0,0,0,7,1,1,50.0,09/28/20,Fulham,Aston Villa
227,Tim Ream,13.0,us USA,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,11,3,1,75.0,09/28/20,Fulham,Aston Villa
228,Michael Hector,3.0,jm JAM,CB,57,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,50.0,09/28/20,Fulham,Aston Villa
229,Maxime Le Marchand,20.0,fr FRA,CB,33,1,0,0,1,0,0,0,0,0,0,0,0,4,2,0,100.0,09/28/20,Fulham,Aston Villa
230,Denis Odoi,4.0,be BEL,CB,90,1,0,0,5,1,0,3,1,0,0,0,0,17,4,4,50.0,09/28/20,Fulham,Aston Villa
231,Alphonse Areola,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/28/20,Fulham,Aston Villa
232,Ollie Watkins,11.0,eng ENG,FW,90,0,0,0,2,1,1,1,0,0,0,0,0,4,6,6,50.0,09/28/20,Aston Villa,Fulham
233,Jack Grealish,10.0,eng ENG,LW,90,0,0,0,3,6,0,0,0,1,0,0,0,9,1,1,50.0,09/28/20,Aston Villa,Fulham
234,Trezeguet,17.0,eg EGY,RW,83,0,0,0,0,0,0,1,1,2,0,0,0,6,1,5,16.7,09/28/20,Aston Villa,Fulham
235,Bertrand Traore,15.0,bf BFA,RW,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,09/28/20,Aston Villa,Fulham
236,Conor Hourihane,14.0,ie IRL,CM,76,0,0,0,0,0,0,3,0,0,0,0,0,7,2,0,100.0,09/28/20,Aston Villa,Fulham
237,Jacob Ramsey,41.0,eng ENG,CM,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,09/28/20,Aston Villa,Fulham
238,John McGinn,7.0,sco SCO,CM,90,1,0,0,1,5,0,1,0,0,0,0,0,7,0,0,,09/28/20,Aston Villa,Fulham
239,Douglas Luiz,6.0,br BRA,DM,86,0,0,0,3,0,0,0,0,2,0,0,0,9,2,1,66.7,09/28/20,Aston Villa,Fulham
240,Marvelous Nakamba,19.0,zw ZIM,DM,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/28/20,Aston Villa,Fulham
241,Matt Targett,18.0,eng ENG,LB,90,1,0,0,0,1,0,1,0,2,0,0,0,13,1,2,33.3,09/28/20,Aston Villa,Fulham
242,Tyrone Mings,5.0,eng ENG,CB,90,1,0,0,1,0,1,0,0,0,0,0,0,6,2,2,50.0,09/28/20,Aston Villa,Fulham
243,Ezri Konsa Ngoyo,4.0,eng ENG,CB,90,0,0,0,1,3,1,0,1,1,0,0,0,5,2,3,40.0,09/28/20,Aston Villa,Fulham
244,Matthew Cash,2.0,eng ENG,RB,90,0,0,0,3,0,0,1,1,3,0,0,0,7,0,2,0.0,09/28/20,Aston Villa,Fulham
245,Emiliano MartÃ­nez,26.0,ar ARG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,09/28/20,Aston Villa,Fulham
246,Roberto Firmino,9.0,br BRA,FW,89,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0.0,09/28/20,Liverpool,Arsenal
247,Takumi Minamino,18.0,jp JPN,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,09/28/20,Liverpool,Arsenal
248,Sadio Mane,10.0,sn SEN,LW,79,1,0,0,3,3,0,0,2,2,0,0,0,9,0,1,0.0,09/28/20,Liverpool,Arsenal
249,Diogo Jota,20.0,pt POR,LW,11,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0.0,09/28/20,Liverpool,Arsenal
250,Mohamed Salah,11.0,eg EGY,RW,90,0,0,0,1,0,0,0,1,1,0,0,0,6,0,1,0.0,09/28/20,Liverpool,Arsenal
251,Georginio Wijnaldum,5.0,nl NED,CM,90,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,09/28/20,Liverpool,Arsenal
252,Naby Keita,8.0,gn GUI,CM,78,0,0,0,2,0,0,1,0,0,0,0,0,5,0,2,0.0,09/28/20,Liverpool,Arsenal
253,James Milner,7.0,eng ENG,CM,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/28/20,Liverpool,Arsenal
254,Fabinho,3.0,br BRA,DM,90,0,0,0,0,1,0,1,1,5,0,0,0,11,1,1,50.0,09/28/20,Liverpool,Arsenal
255,Andrew Robertson,26.0,sco SCO,LB,90,0,0,0,2,0,0,4,0,0,0,0,0,13,0,1,0.0,09/28/20,Liverpool,Arsenal
256,Virgil van Dijk,4.0,nl NED,CB,90,0,0,0,1,2,0,0,0,0,0,0,0,10,2,2,50.0,09/28/20,Liverpool,Arsenal
257,Joseph Gomez,12.0,eng ENG,CB,90,0,0,0,0,1,0,0,1,0,0,0,0,19,1,4,20.0,09/28/20,Liverpool,Arsenal
258,Trent Alexander-Arnold,66.0,eng ENG,RB,90,1,0,0,1,0,0,7,1,0,0,0,0,15,0,0,,09/28/20,Liverpool,Arsenal
259,Alisson,1.0,br BRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,09/28/20,Liverpool,Arsenal
260,Alexandre Lacazette,9.0,fr FRA,FW,72,0,0,0,2,1,1,0,1,1,0,0,0,5,3,1,75.0,09/28/20,Arsenal,Liverpool
261,Eddie Nketiah,30.0,eng ENG,LW,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,09/28/20,Arsenal,Liverpool
262,Pierre-Emerick Aubameyang,14.0,ga GAB,"LW,FW",90,0,0,0,0,0,1,2,0,1,0,0,0,2,3,1,75.0,09/28/20,Arsenal,Liverpool
263,Willian,12.0,br BRA,RW,67,0,0,0,1,1,1,1,2,0,0,0,0,1,1,0,100.0,09/28/20,Arsenal,Liverpool
264,Nicolas Pepe,19.0,ci CIV,RW,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,09/28/20,Arsenal,Liverpool
265,Granit Xhaka,34.0,ch SUI,DM,59,0,0,0,1,2,0,0,1,1,0,0,0,8,1,0,100.0,09/28/20,Arsenal,Liverpool
266,Dani Ceballos,8.0,es ESP,DM,31,1,0,0,1,2,0,0,0,2,0,0,0,6,0,0,,09/28/20,Arsenal,Liverpool
267,Mohamed Elneny,25.0,eg EGY,DM,90,0,0,0,0,1,0,0,2,1,0,0,0,11,0,1,0.0,09/28/20,Arsenal,Liverpool
268,Ainsley Maitland-Niles,15.0,eng ENG,WB,90,0,0,0,0,0,1,0,0,3,0,0,0,8,1,0,100.0,09/28/20,Arsenal,Liverpool
269,Hector Bellerin,2.0,es ESP,WB,90,1,0,0,1,1,0,1,0,1,0,0,0,11,1,0,100.0,09/28/20,Arsenal,Liverpool
270,Kieran Tierney,3.0,sco SCO,CB,90,0,0,0,0,2,0,1,2,1,0,0,0,8,1,0,100.0,09/28/20,Arsenal,Liverpool
271,David Luiz,23.0,br BRA,CB,90,0,0,0,0,0,1,0,1,1,0,0,0,6,1,0,100.0,09/28/20,Arsenal,Liverpool
272,Rob Holding,16.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,9,2,1,66.7,09/28/20,Arsenal,Liverpool
