,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
0,Aaron Connolly,7.0,ie IRL,FW,74,9,8,1,0,0,1,0,0,0,0,0,0,6,2,1,0,7,2,0,0,8,0,0,0,0,09/26/20,Brighton,Manchester Utd
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",16,16,16,0,0,0,1,1,2,0,0,0,0,12,0,4,1,14,1,0,0,15,0,0,0,1,09/26/20,Brighton,Manchester Utd
2,Neal Maupay,9.0,fr FRA,LW,90,33,30,3,0,0,11,2,1,0,0,0,0,23,5,5,5,23,0,1,1,24,0,0,0,5,09/26/20,Brighton,Manchester Utd
3,Leandro Trossard,11.0,be BEL,"RW,FW",90,39,34,5,3,0,1,2,2,1,1,0,0,20,11,8,9,28,1,1,0,28,1,0,1,1,09/26/20,Brighton,Manchester Utd
4,Steven Alzate,17.0,co COL,DM,90,50,48,2,1,0,8,2,0,1,1,0,0,44,4,2,6,43,1,0,0,46,0,0,1,1,09/26/20,Brighton,Manchester Utd
5,Adam Lallana,14.0,eng ENG,DM,74,37,36,1,1,0,1,0,1,0,0,0,0,19,6,12,13,20,3,0,0,31,0,0,0,0,09/26/20,Brighton,Manchester Utd
6,Pascal Gross,13.0,de GER,DM,16,20,16,4,1,0,3,2,1,3,2,1,0,11,2,7,4,15,0,0,0,15,0,0,0,0,09/26/20,Brighton,Manchester Utd
7,Solly March,20.0,eng ENG,WB,90,67,54,13,2,0,3,4,7,2,1,0,0,32,11,24,52,4,2,9,0,45,0,1,1,2,09/26/20,Brighton,Manchester Utd
8,Tariq Lamptey,2.0,eng ENG,WB,90,44,36,8,1,0,2,1,2,0,0,0,0,32,6,6,12,23,2,7,0,37,0,0,0,1,09/26/20,Brighton,Manchester Utd
9,Adam Webster,4.0,eng ENG,CB,90,52,51,1,1,0,3,0,0,0,0,0,0,39,5,8,16,33,3,0,0,44,0,0,1,2,09/26/20,Brighton,Manchester Utd
10,Lewis Dunk,5.0,eng ENG,CB,90,63,62,1,1,0,0,1,0,0,0,0,0,52,4,7,6,52,5,0,0,58,0,0,0,0,09/26/20,Brighton,Manchester Utd
11,Ben White,3.0,eng ENG,CB,90,68,65,3,3,0,4,1,2,0,0,0,0,54,6,8,5,55,4,0,2,63,0,1,0,0,09/26/20,Brighton,Manchester Utd
12,Mathew Ryan,1.0,au AUS,GK,90,37,29,8,5,0,8,3,0,0,0,0,0,21,1,15,3,32,0,0,2,28,0,3,0,0,09/26/20,Brighton,Manchester Utd
13,Anthony Martial,9.0,fr FRA,FW,89,22,21,1,0,0,8,0,1,0,0,0,0,20,0,2,2,20,0,0,0,17,2,0,1,0,09/26/20,Manchester Utd,Brighton
14,Donny van de Beek,34.0,nl NED,FW,1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,2,09/26/20,Manchester Utd,Brighton
15,Marcus Rashford,10.0,eng ENG,"LW,FW",90,28,28,0,0,0,5,2,0,0,0,0,0,21,5,2,2,25,1,0,0,24,0,0,0,1,09/26/20,Manchester Utd,Brighton
16,Mason Greenwood,11.0,eng ENG,RW,82,24,24,0,0,0,6,1,0,0,0,0,0,17,3,4,20,4,0,0,0,22,0,0,0,0,09/26/20,Manchester Utd,Brighton
17,Eric Bailly,3.0,ci CIV,CB,8,3,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,1,0,0,2,0,0,0,1,09/26/20,Manchester Utd,Brighton
18,Bruno Fernandes,18.0,pt POR,AM,90,54,49,5,2,0,15,1,3,1,1,0,0,36,7,11,3,48,3,0,0,43,0,1,0,5,09/26/20,Manchester Utd,Brighton
19,Nemanja Matic,31.0,rs SRB,DM,90,64,61,3,3,0,14,1,1,0,0,0,0,52,5,7,54,8,0,0,0,57,1,1,0,2,09/26/20,Manchester Utd,Brighton
20,Paul Pogba,6.0,fr FRA,DM,64,35,31,4,4,0,8,1,0,0,0,0,0,27,1,7,5,29,1,0,0,25,0,1,1,1,09/26/20,Manchester Utd,Brighton
21,Fred,17.0,br BRA,DM,26,15,14,1,1,0,2,1,1,0,0,0,0,10,0,5,9,6,0,0,0,12,1,0,0,0,09/26/20,Manchester Utd,Brighton
22,Luke Shaw,23.0,eng ENG,"LB,WB",90,50,45,5,1,0,9,0,2,0,0,0,0,37,6,7,38,6,0,4,1,39,0,1,0,2,09/26/20,Manchester Utd,Brighton
23,Harry Maguire,5.0,eng ENG,CB,90,47,46,1,1,0,8,4,0,0,0,0,0,32,3,12,9,33,4,0,1,40,0,0,0,0,09/26/20,Manchester Utd,Brighton
24,Victor Lindelof,2.0,se SWE,CB,90,45,44,1,1,0,6,0,0,0,0,0,0,37,2,6,8,36,1,0,0,41,0,0,0,1,09/26/20,Manchester Utd,Brighton
25,Aaron Wan-Bissaka,29.0,eng ENG,"RB,WB",90,36,29,7,0,0,12,1,0,0,0,0,0,26,5,5,3,25,0,7,0,33,0,0,1,1,09/26/20,Manchester Utd,Brighton
26,David de Gea,1.0,es ESP,GK,90,22,9,13,4,0,1,0,0,0,0,0,0,14,1,7,2,17,0,0,2,16,0,0,0,0,09/26/20,Manchester Utd,Brighton
27,Wilfried Zaha,11.0,ci CIV,"FW,LM",90,23,22,1,1,0,3,0,1,0,0,0,0,15,7,1,4,18,0,0,1,16,0,0,0,2,09/26/20,Crystal Palace,Everton
28,Jordan Ayew,9.0,gh GHA,FW,81,21,19,2,0,0,5,1,1,0,0,0,0,15,4,2,2,16,1,0,0,19,0,0,0,0,09/26/20,Crystal Palace,Everton
29,Christian Benteke,20.0,be BEL,FW,9,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,09/26/20,Crystal Palace,Everton
30,Eberechi Eze,25.0,eng ENG,LM,74,43,39,4,3,0,6,1,2,1,1,0,0,35,2,6,5,37,1,0,0,33,0,1,0,0,09/26/20,Crystal Palace,Everton
31,Michy Batshuayi,23.0,be BEL,FW,16,3,3,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0,0,2,0,0,0,1,09/26/20,Crystal Palace,Everton
32,James McArthur,18.0,sco SCO,CM,87,49,47,2,1,0,10,1,1,0,0,0,0,31,10,8,10,38,1,0,0,41,0,0,0,1,09/26/20,Crystal Palace,Everton
33,Jairo Riedewald,44.0,nl NED,CM,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0,0,0,0,09/26/20,Crystal Palace,Everton
34,James McCarthy,22.0,ie IRL,CM,90,46,45,1,1,0,5,2,0,0,0,0,0,23,12,11,7,35,3,0,0,36,0,2,0,3,09/26/20,Crystal Palace,Everton
35,Andros Townsend,10.0,eng ENG,RM,90,38,30,8,2,0,9,5,5,6,5,1,0,17,6,15,26,11,1,0,0,23,1,0,0,1,09/26/20,Crystal Palace,Everton
36,Tyrick Mitchell,27.0,eng ENG,LB,90,40,34,6,0,0,6,0,3,0,0,0,0,25,4,11,33,1,0,6,0,30,0,2,1,0,09/26/20,Crystal Palace,Everton
37,Mamadou Sakho,12.0,fr FRA,CB,90,33,32,1,1,0,4,1,0,0,0,0,0,24,3,6,21,10,1,0,0,29,0,1,0,0,09/26/20,Crystal Palace,Everton
38,Cheikhou Kouyate,8.0,sn SEN,CB,90,36,34,2,2,0,10,1,0,0,0,0,0,16,8,12,5,28,2,0,0,24,0,1,0,1,09/26/20,Crystal Palace,Everton
39,Joel Ward,2.0,eng ENG,RB,90,39,29,10,2,0,8,2,0,0,0,0,0,17,11,11,2,26,1,8,0,32,0,2,0,3,09/26/20,Crystal Palace,Everton
40,Vicente Guaita,31.0,es ESP,GK,90,17,10,7,2,0,2,0,0,0,0,0,0,7,1,9,0,13,0,0,2,11,0,0,0,0,09/26/20,Crystal Palace,Everton
41,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,15,14,1,0,0,5,0,0,0,0,0,0,7,5,3,0,8,0,0,5,12,0,0,1,1,09/26/20,Everton,Crystal Palace
42,Richarlison,7.0,br BRA,LW,89,39,38,1,0,0,3,0,0,0,0,0,0,30,3,6,5,30,2,0,0,29,0,1,1,2,09/26/20,Everton,Crystal Palace
43,Tom Davies,26.0,eng ENG,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/20,Everton,Crystal Palace
44,James Rodriguez,19.0,co COL,RW,85,53,45,8,0,0,2,4,2,6,2,0,3,28,13,12,45,4,1,2,1,45,0,2,2,1,09/26/20,Everton,Crystal Palace
45,Alex Iwobi,17.0,ng NGA,RW,5,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,09/26/20,Everton,Crystal Palace
46,Andre Gomes,21.0,pt POR,CM,75,35,35,0,0,0,0,5,1,0,0,0,0,20,5,10,16,18,1,0,0,31,0,1,1,0,09/26/20,Everton,Crystal Palace
47,Gylfi Sigurdsson,10.0,is ISL,CM,15,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,4,5,0,0,0,8,0,0,0,1,09/26/20,Everton,Crystal Palace
48,Abdoulaye Doucoure,16.0,fr FRA,CM,90,55,55,0,0,0,3,1,0,0,0,0,0,42,12,1,4,51,0,0,0,49,0,0,2,1,09/26/20,Everton,Crystal Palace
49,Allan,6.0,br BRA,DM,90,42,42,0,0,0,1,0,0,0,0,0,0,31,6,5,8,32,2,0,0,37,0,0,0,2,09/26/20,Everton,Crystal Palace
50,Lucas Digne,12.0,fr FRA,LB,90,80,64,16,7,0,3,1,5,0,0,0,0,45,12,23,59,4,5,9,1,63,0,1,4,3,09/26/20,Everton,Crystal Palace
51,Michael Keane,5.0,eng ENG,CB,90,64,63,1,1,0,0,3,0,0,0,0,0,46,5,13,19,42,3,0,0,58,0,1,0,0,09/26/20,Everton,Crystal Palace
52,Yerry Mina,13.0,co COL,CB,90,55,52,3,3,0,2,2,0,0,0,0,0,46,5,4,8,46,0,0,0,53,0,0,1,0,09/26/20,Everton,Crystal Palace
53,Seamus Coleman,23.0,ie IRL,RB,90,57,43,14,0,0,2,1,1,0,0,0,0,29,16,12,8,35,0,14,0,47,0,1,0,2,09/26/20,Everton,Crystal Palace
54,Jordan Pickford,1.0,eng ENG,GK,90,32,22,10,3,0,1,0,0,0,0,0,0,12,1,19,23,4,0,0,4,20,0,0,1,0,09/26/20,Everton,Crystal Palace
55,Callum Robinson,7.0,ie IRL,FW,65,7,6,1,0,0,2,0,0,0,0,0,0,5,2,0,3,4,0,0,0,5,0,0,0,0,09/26/20,West Brom,Chelsea
56,Hal Robson-Kanu,4.0,wal WAL,FW,25,6,5,1,0,0,1,0,0,0,0,0,0,5,0,1,4,2,0,0,0,4,0,1,0,1,09/26/20,West Brom,Chelsea
57,Grady Diangana,11.0,eng ENG,AM,73,23,23,0,0,0,5,0,0,0,0,0,0,18,3,2,21,2,0,0,0,18,0,0,2,2,09/26/20,West Brom,Chelsea
58,Matt Phillips,10.0,sco SCO,AM,17,7,6,1,1,0,1,1,1,0,0,0,0,1,1,5,0,7,0,0,0,2,0,2,0,0,09/26/20,West Brom,Chelsea
59,Matheus Pereira,12.0,br BRA,AM,89,40,33,7,4,0,5,0,2,3,1,1,1,25,4,11,35,3,1,0,1,28,0,1,1,1,09/26/20,West Brom,Chelsea
60,Sam Field,28.0,eng ENG,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/20,West Brom,Chelsea
61,Romaine Sawyers,19.0,kn SKN,CM,90,32,28,4,2,0,4,1,1,0,0,0,0,25,4,3,7,25,0,0,0,26,0,0,1,3,09/26/20,West Brom,Chelsea
62,Jake Livermore,8.0,eng ENG,CM,90,21,21,0,0,0,2,0,0,0,0,0,0,15,1,5,4,15,2,0,0,12,0,0,0,3,09/26/20,West Brom,Chelsea
63,Conor Townsend,14.0,eng ENG,WB,90,33,29,4,0,0,9,0,1,0,0,0,0,19,6,8,24,1,2,4,0,21,0,0,1,2,09/26/20,West Brom,Chelsea
64,Darnell Furlong,2.0,eng ENG,WB,90,39,31,8,0,0,6,3,6,0,0,0,0,14,5,20,2,20,7,8,0,24,0,1,1,1,09/26/20,West Brom,Chelsea
65,Dara O'Shea,27.0,ie IRL,CB,90,21,17,4,2,0,3,4,0,0,0,0,0,12,1,8,0,19,0,2,0,14,0,1,0,0,09/26/20,West Brom,Chelsea
66,Kyle Bartley,5.0,eng ENG,CB,90,8,7,1,1,0,1,1,0,0,0,0,0,4,0,4,0,8,0,0,0,7,0,0,0,0,09/26/20,West Brom,Chelsea
67,Semi Ajayi,6.0,ng NGA,CB,90,15,12,3,1,0,1,1,0,0,0,0,0,7,1,7,1,12,0,2,0,10,0,0,0,0,09/26/20,West Brom,Chelsea
68,Sam Johnstone,1.0,eng ENG,GK,90,28,16,12,5,0,1,2,0,0,0,0,0,4,0,24,1,21,0,0,1,11,1,1,0,0,09/26/20,West Brom,Chelsea
69,Tammy Abraham,9.0,eng ENG,FW,90,21,20,1,0,0,9,0,0,0,0,0,0,15,5,1,2,16,0,0,1,12,0,1,0,2,09/26/20,Chelsea,West Brom
70,Timo Werner,11.0,de GER,"LW,WB",90,42,42,0,0,0,9,2,2,0,0,0,0,31,9,2,7,35,0,0,0,36,0,1,0,3,09/26/20,Chelsea,West Brom
71,Mason Mount,19.0,eng ENG,"RW,CM",90,63,57,6,1,0,6,2,3,4,3,1,0,51,6,6,6,56,0,1,0,53,0,0,0,3,09/26/20,Chelsea,West Brom
72,Kai Havertz,29.0,de GER,"AM,CM",90,58,56,2,0,0,15,0,1,0,0,0,0,51,5,2,42,15,0,0,0,52,0,0,0,3,09/26/20,Chelsea,West Brom
73,Mateo Kovacic,17.0,hr CRO,CM,45,58,57,1,0,0,10,1,0,0,0,0,0,49,6,3,1,55,2,0,0,53,0,0,0,1,09/26/20,Chelsea,West Brom
74,Callum Hudson-Odoi,20.0,eng ENG,"RW,WB",45,42,41,1,0,0,5,1,4,0,0,0,0,31,7,4,8,33,0,1,0,30,0,0,0,3,09/26/20,Chelsea,West Brom
75,N'Golo Kante,7.0,fr FRA,"CM,DM",90,101,96,5,3,0,8,1,0,0,0,0,0,81,17,3,7,86,4,2,1,93,0,1,1,0,09/26/20,Chelsea,West Brom
76,Marcos Alonso,3.0,es ESP,LB,45,31,29,2,0,0,10,0,0,0,0,0,0,21,5,5,23,2,3,2,0,27,0,0,0,0,09/26/20,Chelsea,West Brom
77,Cesar Azpilicueta,28.0,es ESP,"LB,CB",45,63,58,5,1,0,5,3,0,0,0,0,0,46,13,4,8,47,1,4,1,56,0,1,0,1,09/26/20,Chelsea,West Brom
78,Thiago Silva,6.0,br BRA,CB,72,82,81,1,1,0,1,3,0,0,0,0,0,66,10,6,9,69,4,0,0,78,0,1,0,0,09/26/20,Chelsea,West Brom
79,Olivier Giroud,18.0,fr FRA,"FW,CB",18,7,7,0,0,0,0,0,0,0,0,0,0,6,1,0,6,1,0,0,0,3,0,0,0,2,09/26/20,Chelsea,West Brom
80,Andreas Christensen,4.0,dk DEN,CB,90,116,116,0,0,0,10,1,0,0,0,0,0,101,10,5,9,100,4,0,0,107,0,0,2,1,09/26/20,Chelsea,West Brom
81,Reece James,24.0,eng ENG,"RB,CB",90,127,114,13,0,1,11,7,13,5,1,3,1,92,19,16,12,104,3,8,0,108,0,3,1,1,09/26/20,Chelsea,West Brom
82,Willy Caballero,13.0,ar ARG,GK,90,26,19,7,1,0,1,0,0,0,0,0,0,21,2,3,3,21,0,0,2,24,0,0,0,0,09/26/20,Chelsea,West Brom
83,Matej Vydra,27.0,cz CZE,FW,90,17,17,0,0,0,6,0,1,0,0,0,0,5,9,3,1,9,3,0,2,13,0,1,0,1,09/26/20,Burnley,Southampton
84,Chris Wood,9.0,nz NZL,FW,90,20,19,1,0,0,10,0,0,0,0,0,0,8,6,6,1,11,2,0,1,13,0,2,0,0,09/26/20,Burnley,Southampton
85,Dwight McNeil,11.0,eng ENG,LM,90,56,49,7,2,0,9,1,7,2,2,0,0,30,9,17,48,3,1,3,0,36,0,2,0,2,09/26/20,Burnley,Southampton
86,Josh Brownhill,8.0,eng ENG,RM,90,38,36,2,0,0,13,1,1,0,0,0,0,20,5,13,6,21,3,2,2,29,0,0,0,2,09/26/20,Burnley,Southampton
87,Dale Stephens,16.0,eng ENG,DM,90,56,56,0,0,0,11,1,0,0,0,0,0,39,10,7,5,43,4,0,0,47,0,0,1,0,09/26/20,Burnley,Southampton
88,Ashley Westwood,18.0,eng ENG,DM,90,85,73,12,4,0,11,6,2,6,5,0,0,52,7,26,2,79,3,1,0,63,0,2,0,3,09/26/20,Burnley,Southampton
89,Charlie Taylor,3.0,eng ENG,LB,90,83,72,11,0,0,9,1,5,0,0,0,0,46,15,22,62,4,6,11,0,60,0,1,3,1,09/26/20,Burnley,Southampton
90,Jimmy Dunne,34.0,ie IRL,CB,90,63,63,0,0,0,5,3,0,0,0,0,0,41,7,15,21,34,6,0,1,44,0,3,0,0,09/26/20,Burnley,Southampton
91,Kevin Long,28.0,ie IRL,CB,90,62,61,1,0,0,16,2,1,0,0,0,0,35,7,20,2,44,9,1,0,42,0,3,0,3,09/26/20,Burnley,Southampton
92,Phil Bardsley,26.0,sco SCO,RB,90,76,57,19,1,0,13,3,3,0,0,0,0,28,19,29,7,46,3,18,0,54,0,1,0,7,09/26/20,Burnley,Southampton
93,Nick Pope,1.0,eng ENG,GK,90,38,31,7,3,0,4,4,0,0,0,0,0,7,4,27,3,31,0,0,4,17,2,1,0,0,09/26/20,Burnley,Southampton
94,Danny Ings,9.0,eng ENG,FW,90,29,29,0,0,0,7,0,0,0,0,0,0,17,4,8,1,23,3,0,0,14,0,0,3,3,09/26/20,Southampton,Burnley
95,Che Adams,10.0,eng ENG,FW,76,17,17,0,0,0,7,0,1,0,0,0,0,8,2,7,1,11,2,0,1,10,0,0,1,1,09/26/20,Southampton,Burnley
96,Michael Obafemi,14.0,ie IRL,FW,14,3,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,09/26/20,Southampton,Burnley
97,Moussa Djenepo,12.0,ml MLI,LM,76,30,30,0,0,0,6,0,0,0,0,0,0,23,5,2,9,17,1,0,2,23,0,0,0,2,09/26/20,Southampton,Burnley
98,Nathan Tella,23.0,eng ENG,LM,14,3,3,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,0,3,0,0,0,0,09/26/20,Southampton,Burnley
99,Oriol Romeu,6.0,es ESP,CM,90,81,81,0,0,0,14,3,0,0,0,0,0,55,11,15,18,52,8,0,1,59,0,2,0,1,09/26/20,Southampton,Burnley
100,James Ward-Prowse,8.0,eng ENG,CM,90,56,55,1,1,0,10,0,0,0,0,0,0,36,11,9,6,41,8,0,0,54,0,0,0,0,09/26/20,Southampton,Burnley
101,Stuart Armstrong,17.0,sco SCO,RM,90,40,38,2,0,0,7,0,1,0,0,0,0,27,10,3,10,27,2,1,0,29,1,0,0,4,09/26/20,Southampton,Burnley
102,Ryan Bertrand,3.0,eng ENG,LB,90,70,53,17,0,0,5,1,2,2,0,2,0,40,14,16,44,8,3,15,0,60,0,4,0,1,09/26/20,Southampton,Burnley
103,Jannik Vestergaard,4.0,dk DEN,CB,90,49,44,5,5,0,4,1,0,0,0,0,0,29,6,14,14,23,10,0,0,37,0,1,0,1,09/26/20,Southampton,Burnley
104,Jan Bednarek,35.0,pl POL,CB,90,34,34,0,0,0,9,0,0,0,0,0,0,14,4,16,10,17,3,0,0,24,0,2,1,0,09/26/20,Southampton,Burnley
105,Kyle Walker-Peters,2.0,eng ENG,RB,90,56,40,16,0,1,10,1,1,0,0,0,0,25,19,12,3,32,5,16,0,40,0,0,0,2,09/26/20,Southampton,Burnley
106,Alex McCarthy,1.0,eng ENG,GK,90,33,25,8,4,0,4,1,0,0,0,0,0,5,0,28,4,20,1,0,3,11,0,0,0,0,09/26/20,Southampton,Burnley
107,Oliver Burke,14.0,sco SCO,FW,73,19,18,1,0,0,6,0,2,0,0,0,0,14,3,2,0,19,0,0,0,13,0,1,0,2,09/27/20,Sheffield Utd,Leeds United
108,Billy Sharp,10.0,eng ENG,FW,17,4,3,1,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,0,3,0,0,0,0,09/27/20,Sheffield Utd,Leeds United
109,David McGoldrick,17.0,ie IRL,FW,73,16,16,0,0,0,7,0,0,0,0,0,0,12,2,2,3,11,0,0,0,11,0,0,1,0,09/27/20,Sheffield Utd,Leeds United
110,Oliver McBurnie,9.0,sco SCO,FW,17,9,9,0,0,0,6,0,0,0,0,0,0,5,1,3,0,6,0,0,0,8,0,0,0,0,09/27/20,Sheffield Utd,Leeds United
111,Ben Osborn,23.0,eng ENG,CM,90,37,34,3,0,0,5,2,3,3,3,0,0,25,5,7,27,9,1,0,0,29,0,0,0,2,09/27/20,Sheffield Utd,Leeds United
112,John Lundstram,7.0,eng ENG,CM,63,29,26,3,1,0,6,0,0,1,1,0,0,22,1,6,8,19,0,1,0,25,0,0,1,1,09/27/20,Sheffield Utd,Leeds United
113,Oliver Norwood,16.0,nir NIR,CM,27,13,12,1,0,0,4,1,0,1,1,0,0,6,3,4,1,10,1,0,0,9,0,0,0,0,09/27/20,Sheffield Utd,Leeds United
114,Sander Berge,8.0,no NOR,DM,90,40,38,2,1,0,15,1,2,0,0,0,0,26,9,5,1,32,4,1,0,26,0,0,2,2,09/27/20,Sheffield Utd,Leeds United
115,Enda Stevens,3.0,ie IRL,WB,90,34,33,1,0,0,11,0,0,0,0,0,0,25,1,8,30,0,0,1,0,26,1,1,0,1,09/27/20,Sheffield Utd,Leeds United
116,George Baldock,2.0,eng ENG,WB,90,38,26,12,0,0,9,1,1,0,0,0,0,14,4,20,2,19,3,12,0,30,1,1,0,2,09/27/20,Sheffield Utd,Leeds United
117,Jack Robinson,19.0,eng ENG,CB,90,28,25,3,1,0,5,0,0,0,0,0,0,18,3,7,19,4,2,2,0,25,0,1,0,1,09/27/20,Sheffield Utd,Leeds United
118,Ethan Ampadu,22.0,wal WAL,CB,90,37,36,1,0,0,8,0,0,0,0,0,0,21,5,11,4,27,3,1,1,24,0,2,1,2,09/27/20,Sheffield Utd,Leeds United
119,Chris Basham,6.0,eng ENG,CB,90,30,30,0,0,1,7,0,2,0,0,0,0,21,2,7,3,22,4,0,0,23,0,0,0,3,09/27/20,Sheffield Utd,Leeds United
120,Aaron Ramsdale,1.0,eng ENG,GK,90,36,21,15,2,0,1,1,0,0,0,0,0,9,1,26,0,26,0,0,6,16,0,1,0,0,09/27/20,Sheffield Utd,Leeds United
121,Tyler Roberts,11.0,wal WAL,FW,45,18,18,0,0,0,2,0,0,0,0,0,0,11,5,2,0,17,1,0,0,13,0,0,1,1,09/27/20,Leeds United,Sheffield Utd
122,Rodrigo,20.0,es ESP,FW,44,30,30,0,0,0,17,1,1,0,0,0,0,20,8,2,24,2,3,0,0,24,0,0,0,2,09/27/20,Leeds United,Sheffield Utd
123,Ezgjan Alioski,10.0,mk MKD,FW,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,3,0,0,0,0,09/27/20,Leeds United,Sheffield Utd
124,Patrick Bamford,9.0,eng ENG,FW,90,15,12,3,0,0,3,0,0,2,0,0,0,9,5,1,9,4,0,0,1,11,0,1,1,1,09/27/20,Leeds United,Sheffield Utd
125,Stuart Dallas,15.0,nir NIR,CM,90,64,57,7,0,0,8,1,4,0,0,0,0,38,14,12,12,42,1,7,0,53,0,1,0,1,09/27/20,Leeds United,Sheffield Utd
126,Mateusz Klich,43.0,pl POL,CM,90,49,45,4,2,1,7,1,2,0,0,0,0,36,9,4,3,40,3,2,0,38,0,2,2,1,09/27/20,Leeds United,Sheffield Utd
127,Kalvin Phillips,23.0,eng ENG,DM,90,65,59,6,3,0,8,5,3,3,2,1,0,39,7,19,5,56,3,0,0,52,0,2,0,2,09/27/20,Leeds United,Sheffield Utd
128,Jack Harrison,22.0,eng ENG,WB,90,59,53,6,0,0,12,3,5,2,2,0,0,35,10,14,34,16,3,4,0,45,0,1,0,3,09/27/20,Leeds United,Sheffield Utd
129,Helder Costa,17.0,pt POR,WB,65,19,18,1,0,0,3,0,0,0,0,0,0,14,2,3,15,3,0,1,0,15,0,0,1,1,09/27/20,Leeds United,Sheffield Utd
130,Ian Poveda-Ocampo,7.0,eng ENG,WB,25,6,6,0,0,0,3,0,0,0,0,0,0,6,0,0,5,1,0,0,0,3,0,0,0,1,09/27/20,Leeds United,Sheffield Utd
131,Liam Cooper,6.0,sco SCO,CB,90,86,79,7,7,0,12,5,0,0,0,0,0,62,6,18,69,10,1,0,0,72,0,2,1,0,09/27/20,Leeds United,Sheffield Utd
132,Robin Koch,5.0,de GER,CB,90,78,76,2,2,0,12,2,0,0,0,0,0,61,7,10,7,60,3,0,2,68,1,0,1,1,09/27/20,Leeds United,Sheffield Utd
133,Luke Ayling,2.0,eng ENG,CB,90,95,80,15,1,1,12,3,0,0,0,0,0,52,21,22,5,70,4,14,0,76,0,1,0,2,09/27/20,Leeds United,Sheffield Utd
134,Illan Meslier,1.0,fr FRA,GK,90,41,30,11,5,0,4,0,0,0,0,0,0,30,8,3,25,5,0,0,11,38,0,0,0,0,09/27/20,Leeds United,Sheffield Utd
135,Harry Kane,10.0,eng ENG,FW,90,19,19,0,0,1,5,3,1,0,0,0,0,11,3,5,1,16,1,0,0,15,0,0,0,2,09/27/20,Tottenham,Newcastle Utd
